CustomerID,Lookalikes
C0001,"[('C0137', 0.9998), ('C0152', 0.9995), ('C0107', 0.9653)]"
C0002,"[('C0043', 0.9926), ('C0142', 0.9803), ('C0097', 0.9745)]"
C0003,"[('C0133', 0.9872), ('C0052', 0.9755), ('C0112', 0.9398)]"
C0004,"[('C0108', 0.983), ('C0113', 0.9791), ('C0165', 0.9745)]"
C0005,"[('C0178', 0.9994), ('C0159', 0.9989), ('C0123', 0.9981)]"
C0006,"[('C0168', 0.9785), ('C0158', 0.9718), ('C0171', 0.9392)]"
C0007,"[('C0140', 0.9976), ('C0092', 0.9946), ('C0193', 0.9933)]"
C0008,"[('C0139', 0.9726), ('C0109', 0.9703), ('C0098', 0.9315)]"
C0009,"[('C0060', 0.9812), ('C0010', 0.9799), ('C0121', 0.9796)]"
C0010,"[('C0199', 0.9921), ('C0009', 0.9799), ('C0121', 0.9751)]"
C0011,"[('C0107', 0.9951), ('C0048', 0.9944), ('C0152', 0.9453)]"
C0012,"[('C0155', 0.9983), ('C0108', 0.9852), ('C0102', 0.984)]"
C0013,"[('C0087', 0.9901), ('C0188', 0.989), ('C0099', 0.9864)]"
C0014,"[('C0198', 0.9887), ('C0060', 0.9755), ('C0009', 0.9611)]"
C0015,"[('C0144', 0.9896), ('C0036', 0.9828), ('C0131', 0.9764)]"
C0016,"[('C0183', 0.9998), ('C0026', 0.8786), ('C0018', 0.8706)]"
C0017,"[('C0124', 0.98), ('C0075', 0.97), ('C0179', 0.8452)]"
C0018,"[('C0079', 0.9396), ('C0117', 0.9305), ('C0016', 0.8706)]"
C0019,"[('C0172', 1.0), ('C0111', 0.9656), ('C0119', 0.9521)]"
C0020,"[('C0042', 0.9461), ('C0176', 0.9434), ('C0110', 0.9266)]"
